created_at;operation_id;company_code;amount;amount_usd;company_type;client;company_name;status;external_provider_id;external_client_id AS external_client_user_id;country_code
2025-03-02 16:58:14.412;000fde8d-e912-4601-ae9b-0de1e5eaba06;MX-R-00052;50;2.4900000000000002;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;6567e5a2-e630-4290-9fec-7bfa9fcf726a;MX
2025-03-02 14:25:32.112;0010063e-ce20-4ff8-922f-6e46cf8cb97f;AR-R-00001;8000;6.5599999999999996;RECHARGE;Ualá;CLARO;confirmed;33687309109;d6d131df-5e41-48b2-820f-be09f36133c9;AR
2025-03-02 03:02:38.586;00121979-6449-4f86-8821-467386d6c59e;MX-R-00054;20;1;RECHARGE;STORI;Telcel Tae;confirmed;GPS110920S7A;2d2d6657-8e6f-4ad6-a3ae-f8f5de2897a4;MX
2025-03-01 12:59:16.474;00127383-7d17-4c6c-b188-25e20bcacc33;MX-R-00052;100;4.9800000000000004;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;65d91235-69dd-48e5-8f0c-102c5a3bd9c7;MX
2025-03-02 09:53:03.073;0012ff3a-f763-4790-931f-874557c44fc2;MX-R-00052;50;2.4900000000000002;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;672caef5-a80d-41c0-9405-ab0ba635565e;MX
2025-03-03 03:58:12.145;00137df5-6c16-40ac-8774-9eccf52e2727;MX-R-00052;100;4.9800000000000004;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;65ea68b4-8597-4484-95d5-c88ed536810b;MX
2025-03-02 14:10:08.183;00138c2f-6a67-4731-a625-d6fdad2131de;MX-R-00052;50;2.4900000000000002;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;670eb8f9-b4c9-404d-9c5b-ede468d10aec;MX
2025-03-03 14:29:41.932;0014ddd3-035c-4155-b5e0-21e7f7cdd791;MX-R-00052;150;7.4699999999999998;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;660a0a13-61f3-4575-8f06-1b0b4f7d7474;MX
2025-03-03 20:05:10.656;00150ada-07b7-4892-9532-0880fc179739;AR-R-00006;2000;;RECHARGE;Ualá;MIDE - EDENOR PRE PAGO;failed;30655116202;d0404711-bb79-428f-ac1c-7fce236e75ee;AR
2025-03-01 21:34:46.46;0015fcd0-4529-42bc-ada1-7e4b85d5a130;MX-R-00054;50;2.4900000000000002;RECHARGE;STORI;Telcel Tae;confirmed;MTC081110EL3;017a1b74-a654-4b4e-8f07-b5ebe26516da;MX
2025-03-01 02:36:34.365;00162e08-2a7f-4988-8bf1-1b6870eca02c;MX-R-00052;30;1.5;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;66ca283b-65bb-4f34-a930-23aeef4b530d;MX
2025-03-02 23:34:47.205;001695f1-59bb-4d6d-b6ca-4425d9846f0e;MX-R-00006;50;2.4900000000000002;RECHARGE;NUBANK;AT&T;confirmed;MTC081110EL3;6667cbb8-4c96-4a40-954b-c624c31f0e07;MX
2025-03-02 02:53:03.459;0018c048-f0ed-406b-ad4b-8756ecbb15f2;MX-R-00006;30;1.49;RECHARGE;NUBANK;AT&T;confirmed;MTC081110EL3;61bd0778-c8a3-4785-9f7f-a376309d4e6c;MX
2025-03-03 17:45:15.258;0019c98d-8934-4b99-ba2d-4caa55403f29;MX-R-00008;100;4.9800000000000004;RECHARGE;NUBANK;Movistar;confirmed;MTC081110EL3;64fddd41-4cc8-43ef-9f64-9d61f324b1e4;MX
2025-03-02 17:47:34.686;001a140b-e41b-4627-8a61-f27b997d7024;MX-R-00054;100;4.9800000000000004;RECHARGE;STORI;Telcel Tae;confirmed;MTC081110EL3;f0003ab2-bb6f-4cf1-ad94-2f9bff4fc970;MX
2025-03-01 20:37:17.091;001a82d6-2482-43f7-aa5b-ff2f5e5c88c7;MX-R-00052;10;0.5;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;67ba7fe1-37d3-44e0-82d2-9aa2d3e513bb;MX
2025-03-01 16:19:41.944;001a8ddf-9b4c-426e-8bfb-4150ccf3b417;MX-R-00028;30;1.49;RECHARGE;NUBANK;Bait;confirmed;MTC081110EL3;6585f99f-de42-43b4-b5ba-07dce43048f4;MX
2025-03-03 19:27:53.202;001e144b-a0e5-459b-bb73-41e9eef8f0f8;MX-R-00006;50;2.4900000000000002;RECHARGE;NUBANK;AT&T;confirmed;MTC081110EL3;655d63cc-01ef-4d87-ab31-480342e45fd9;MX
2025-03-03 06:12:36.98;0022d4b8-9b8c-44c9-af69-e2d91526f070;MX-R-00052;150;7.4699999999999998;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;652771a0-cdaa-4104-87de-1a4a1eebb8de;MX
2025-03-03 20:00:03.55;0022df03-aae5-4f35-9228-16723279f5aa;MX-R-00006;10;0.5;RECHARGE;NUBANK;AT&T;confirmed;MTC081110EL3;678c220a-da60-4fb4-9cd5-f6ab12a62281;MX
2025-03-01 16:36:02.367;002334e4-3d97-41a9-838f-6fbd5a0ffbf0;MX-R-00052;50;2.4900000000000002;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;673165c6-fa0b-4681-8336-60264b330eb4;MX
2025-03-03 11:38:47.991;00235888-fcc7-48e3-9d4b-b3c2f75e8dfe;MX-R-00052;100;4.9800000000000004;RECHARGE;NUBANK;Telcel Amigo Sin Límite;confirmed;MTC081110EL3;67104a33-1fd5-40b4-a83a-c6fd01ebc342;MX
